GO,Interpro,n,n_go,n_ip,s
GO:0000001,IPR031468,12,31,70,0.2376237623762376
GO:0000002,IPR019411,14,99,21,0.23333333333333334
GO:0000002,IPR019605,13,99,15,0.22807017543859648
GO:0000002,IPR029209,13,99,15,0.22807017543859648
GO:0000009,IPR028098,6,6,45,0.23529411764705882
GO:0000012,IPR011146,12,34,41,0.32
GO:0000012,IPR019406,5,34,13,0.2127659574468085
GO:0000012,IPR032566,13,34,13,0.5531914893617021
GO:0000012,IPR041388,11,34,13,0.46808510638297873
GO:0000014,IPR001604,9,55,18,0.2465753424657534
GO:0000014,IPR013134,8,55,10,0.24615384615384617
GO:0000014,IPR020821,9,55,19,0.24324324324324326
GO:0000014,IPR038729,10,55,17,0.2777777777777778
GO:0000015,IPR020810,8,8,43,0.3137254901960784
GO:0000015,IPR020811,8,8,43,0.3137254901960784
GO:0000018,IPR005818,57,354,84,0.2602739726027397
GO:0000019,IPR010643,5,36,5,0.24390243902439024
GO:0000023,IPR012810,2,11,2,0.3076923076923077
GO:0000023,IPR032091,2,11,5,0.25
GO:0000026,IPR031814,13,16,13,0.896551724137931
GO:0000027,IPR020783,58,360,62,0.27488151658767773
GO:0000027,IPR020784,58,360,62,0.27488151658767773
GO:0000027,IPR031309,59,360,64,0.2783018867924528
GO:0000027,IPR031310,59,360,64,0.2783018867924528
GO:0000028,IPR004044,34,212,92,0.2236842105263158
GO:0000028,IPR023798,74,212,76,0.5138888888888888
GO:0000028,IPR028989,29,212,37,0.23293172690763053
GO:0000028,IPR028998,28,212,36,0.22580645161290322
GO:0000028,IPR030388,36,212,37,0.2891566265060241
GO:0000030,IPR001296,31,100,121,0.28054298642533937
GO:0000030,IPR003342,24,100,27,0.3779527559055118
GO:0000030,IPR013618,12,100,12,0.21428571428571427
GO:0000030,IPR016093,29,100,52,0.3815789473684211
GO:0000030,IPR028098,19,100,45,0.2620689655172414
GO:0000030,IPR031814,13,100,13,0.23008849557522124
GO:0000030,IPR032421,23,100,25,0.368
GO:0000033,IPR028098,9,9,45,0.3333333333333333
GO:0000034,IPR001365,11,21,56,0.2857142857142857
GO:0000034,IPR026912,10,21,11,0.625
GO:0000035,IPR009081,41,43,176,0.3744292237442922
GO:0000036,IPR009081,54,56,176,0.46551724137931033
GO:0000036,IPR020806,16,56,93,0.21476510067114093
GO:0000041,IPR001117,54,351,72,0.2553191489361702
GO:0000041,IPR011706,59,351,78,0.27505827505827507
GO:0000041,IPR011707,59,351,84,0.271264367816092
GO:0000041,IPR034285,40,351,40,0.20460358056265984
GO:0000049,IPR004364,52,323,98,0.24703087885985747
GO:0000049,IPR004365,46,323,131,0.2026431718061674
GO:0000049,IPR006195,82,323,428,0.21837549933422104
GO:0000049,IPR018149,49,323,50,0.26273458445040215
GO:0000049,IPR044136,44,323,45,0.2391304347826087
GO:0000052,IPR005480,10,57,42,0.20202020202020202
GO:0000052,IPR006131,51,57,93,0.68
GO:0000052,IPR006132,51,57,93,0.68
GO:0000055,IPR007064,7,52,7,0.23728813559322035
GO:0000055,IPR014877,8,52,8,0.26666666666666666
GO:0000056,IPR013598,8,25,43,0.23529411764705882
GO:0000056,IPR014877,8,25,8,0.48484848484848486
GO:0000056,IPR024057,5,25,13,0.2631578947368421
GO:0000056,IPR032569,5,25,7,0.3125
GO:0000062,IPR000582,14,51,29,0.35
GO:0000062,IPR006683,13,51,57,0.24074074074074073
GO:0000062,IPR033120,13,51,16,0.3880597014925373
GO:0000064,IPR029485,10,10,21,0.6451612903225806
GO:0000076,IPR006906,16,128,17,0.2206896551724138
GO:0000076,IPR012923,18,128,20,0.24324324324324326
GO:0000076,IPR015163,24,128,25,0.3137254901960784
GO:0000076,IPR041083,17,128,19,0.23129251700680273
GO:0000079,IPR004367,141,292,159,0.6252771618625277
GO:0000079,IPR006671,179,292,249,0.6617375231053605
GO:0000079,IPR013763,177,292,288,0.6103448275862069
GO:0000096,IPR000845,60,326,80,0.2955665024630542
GO:0000096,IPR001303,42,326,88,0.2028985507246377
GO:0000096,IPR001926,53,326,174,0.212
GO:0000097,IPR000845,60,239,80,0.3761755485893417
GO:0000097,IPR001303,42,239,88,0.25688073394495414
GO:0000097,IPR001926,45,239,174,0.2179176755447942
GO:0000098,IPR005130,10,34,18,0.38461538461538464
GO:0000103,IPR002500,19,58,33,0.4175824175824176
GO:0000103,IPR002650,21,58,23,0.5185185185185185
GO:0000103,IPR024951,21,58,23,0.5185185185185185
GO:0000103,IPR025980,21,58,23,0.5185185185185185
GO:0000104,IPR003953,24,31,55,0.5581395348837209
GO:0000104,IPR015939,22,31,36,0.6567164179104478
GO:0000104,IPR025192,7,31,26,0.24561403508771928
GO:0000105,IPR002496,11,81,11,0.2391304347826087
GO:0000105,IPR013115,26,81,26,0.48598130841121495
GO:0000105,IPR013820,42,81,42,0.6829268292682927
GO:0000107,IPR017926,39,39,233,0.2867647058823529
GO:0000109,IPR006935,13,67,51,0.22033898305084745
GO:0000109,IPR018326,8,67,8,0.21333333333333335
GO:0000109,IPR018327,8,67,8,0.21333333333333335
GO:0000109,IPR018328,8,67,8,0.21333333333333335
GO:0000109,IPR032438,13,67,13,0.325
GO:0000109,IPR032830,12,67,12,0.3037974683544304
GO:0000110,IPR006166,8,15,36,0.3137254901960784
GO:0000110,IPR022656,7,15,9,0.5833333333333334
GO:0000111,IPR018325,7,9,15,0.5833333333333334
GO:0000111,IPR018326,8,9,8,0.9411764705882353
GO:0000111,IPR018327,8,9,8,0.9411764705882353
GO:0000111,IPR018328,8,9,8,0.9411764705882353
GO:0000112,IPR006935,13,23,51,0.35135135135135137
GO:0000112,IPR032438,13,23,13,0.7222222222222222
GO:0000112,IPR032830,12,23,12,0.6857142857142857
GO:0000117,IPR043321,2,11,4,0.26666666666666666
GO:0000118,IPR023801,48,288,59,0.276657060518732
GO:0000120,IPR021752,13,17,14,0.8387096774193549
GO:0000123,IPR025995,38,299,43,0.2222222222222222
GO:0000124,IPR003228,9,47,9,0.32142857142857145
GO:0000124,IPR010750,6,47,6,0.22641509433962265
GO:0000125,IPR041983,2,5,13,0.2222222222222222
GO:0000126,IPR011665,4,15,4,0.42105263157894735
GO:0000126,IPR013137,11,15,40,0.4
GO:0000126,IPR039467,4,15,4,0.42105263157894735
GO:0000127,IPR007309,5,17,5,0.45454545454545453
GO:0000127,IPR019136,4,17,4,0.38095238095238093
GO:0000127,IPR019481,4,17,4,0.38095238095238093
GO:0000127,IPR024761,3,17,3,0.3
GO:0000127,IPR024764,4,17,4,0.38095238095238093
GO:0000127,IPR035625,4,17,4,0.38095238095238093
GO:0000127,IPR041499,4,17,4,0.38095238095238093
GO:0000128,IPR018871,3,19,4,0.2608695652173913
GO:0000128,IPR021746,3,19,4,0.2608695652173913
GO:0000132,IPR006964,17,105,19,0.27419354838709675
GO:0000137,IPR043976,10,41,10,0.39215686274509803
GO:0000138,IPR006977,11,50,22,0.3055555555555556
GO:0000138,IPR039899,7,50,12,0.22580645161290322
GO:0000145,IPR007191,8,56,8,0.25
GO:0000145,IPR019160,7,56,7,0.2222222222222222
GO:0000145,IPR028258,11,56,11,0.3283582089552239
GO:0000145,IPR032403,14,56,15,0.39436619718309857
GO:0000145,IPR039481,9,56,9,0.27692307692307694
GO:0000146,IPR001609,59,61,146,0.5700483091787439
GO:0000146,IPR002928,21,61,53,0.3684210526315789
GO:0000146,IPR004009,35,61,73,0.5223880597014925
GO:0000146,IPR010926,13,61,33,0.2765957446808511
GO:0000146,IPR036072,13,61,33,0.2765957446808511
GO:0000147,IPR000697,8,45,34,0.20253164556962025
GO:0000147,IPR003124,17,45,64,0.3119266055045872
GO:0000147,IPR033927,7,45,7,0.2692307692307692
GO:0000148,IPR026899,6,7,16,0.5217391304347826
GO:0000149,IPR000727,127,305,160,0.546236559139785
GO:0000149,IPR001565,36,305,47,0.20454545454545456
GO:0000149,IPR006011,58,305,58,0.31955922865013775
GO:0000150,IPR002104,7,43,19,0.22580645161290322
GO:0000150,IPR006119,9,43,10,0.33962264150943394
GO:0000150,IPR013632,22,43,45,0.5
GO:0000150,IPR020587,20,43,45,0.45454545454545453
GO:0000150,IPR020588,23,43,82,0.368
GO:0000150,IPR033925,21,43,35,0.5384615384615384
GO:0000150,IPR044068,7,43,16,0.23728813559322035
GO:0000151,IPR001810,182,910,569,0.24611223799864773
GO:0000152,IPR032443,33,176,34,0.3142857142857143
GO:0000153,IPR003892,10,44,55,0.20202020202020202
GO:0000153,IPR022772,6,44,6,0.24
GO:0000153,IPR024053,6,44,6,0.24
GO:0000154,IPR006145,51,358,67,0.24
GO:0000154,IPR020598,56,358,57,0.26987951807228916
GO:0000155,IPR003594,78,84,273,0.4369747899159664
GO:0000155,IPR003660,29,84,64,0.3918918918918919
GO:0000155,IPR003661,66,84,124,0.6346153846153846
GO:0000155,IPR004358,70,84,125,0.6698564593301436
GO:0000155,IPR005467,79,84,161,0.6448979591836734
GO:0000156,IPR001789,103,116,238,0.5819209039548022
GO:0000156,IPR001867,57,116,70,0.6129032258064516
GO:0000159,IPR041534,7,19,10,0.4827586206896552
GO:0000160,IPR001789,50,133,238,0.2695417789757412
GO:0000160,IPR003594,43,133,273,0.21182266009852216
GO:0000160,IPR003660,23,133,64,0.233502538071066
GO:0000160,IPR003661,39,133,124,0.3035019455252918
GO:0000160,IPR004358,40,133,125,0.31007751937984496
GO:0000160,IPR005467,44,133,161,0.29931972789115646
GO:0000160,IPR008207,18,133,24,0.22929936305732485
GO:0000162,IPR000312,40,180,57,0.33755274261603374
GO:0000162,IPR001240,39,180,39,0.3561643835616438
GO:0000162,IPR001926,43,180,174,0.24293785310734464
GO:0000162,IPR006221,27,180,35,0.25116279069767444
GO:0000162,IPR013798,36,180,36,0.3333333333333333
GO:0000162,IPR017459,39,180,56,0.3305084745762712
GO:0000164,IPR005036,5,26,21,0.2127659574468085
GO:0000164,IPR019523,6,26,7,0.36363636363636365
GO:0000164,IPR031675,10,26,41,0.29850746268656714
GO:0000170,IPR013866,3,6,15,0.2857142857142857
